file_path,file_name,file_suffix,scene_index,scene_name,size_z,z_step_um,z_start_um,z_end_um,z_range_method,error
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2.1.hrmin1_Multichannel Z-Stack_20251017_01.vsi,2.1.hrmin1_Multichannel Z-Stack_20251017_01.vsi,.vsi,0,"C488, C561, C640",23,,250.40811206738692,253.70811206738696,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2.1.hrmin1_Multichannel Z-Stack_20251017_01.vsi,2.1.hrmin1_Multichannel Z-Stack_20251017_01.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2.1.hrmin2_Multichannel Z-Stack_20251017_02.vsi,2.1.hrmin2_Multichannel Z-Stack_20251017_02.vsi,.vsi,0,"C488, C561, C640",30,,249.93798144417997,254.28798144417993,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2.1.hrmin2_Multichannel Z-Stack_20251017_02.vsi,2.1.hrmin2_Multichannel Z-Stack_20251017_02.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_1_harmin_10_Multichannel Z-Stack_20251017_10.vsi,2_1_harmin_10_Multichannel Z-Stack_20251017_10.vsi,.vsi,0,"C488, C561, C640",30,,260.25355246291883,264.60355246291886,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_1_harmin_10_Multichannel Z-Stack_20251017_10.vsi,2_1_harmin_10_Multichannel Z-Stack_20251017_10.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_1_harmin_3_Multichannel Z-Stack_20251017_03.vsi,2_1_harmin_3_Multichannel Z-Stack_20251017_03.vsi,.vsi,0,"C488, C561, C640",24,,252.76070621986207,256.21070621986206,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_1_harmin_3_Multichannel Z-Stack_20251017_03.vsi,2_1_harmin_3_Multichannel Z-Stack_20251017_03.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_1_harmin_4_Multichannel Z-Stack_20251017_04.vsi,2_1_harmin_4_Multichannel Z-Stack_20251017_04.vsi,.vsi,0,"C488, C561, C640",27,,253.98927546847338,257.8892754684734,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_1_harmin_4_Multichannel Z-Stack_20251017_04.vsi,2_1_harmin_4_Multichannel Z-Stack_20251017_04.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_1_harmin_4_Multichannel Z-Stack_20251017_05.vsi,2_1_harmin_4_Multichannel Z-Stack_20251017_05.vsi,.vsi,0,"C488, C561, C640",23,,252.30031740218516,255.6003174021852,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_1_harmin_4_Multichannel Z-Stack_20251017_05.vsi,2_1_harmin_4_Multichannel Z-Stack_20251017_05.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_1_harmin_4_Multichannel Z-Stack_20251017_06.vsi,2_1_harmin_4_Multichannel Z-Stack_20251017_06.vsi,.vsi,0,"C488, C561, C640",22,,254.55615882317034,257.70615882317037,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_1_harmin_4_Multichannel Z-Stack_20251017_06.vsi,2_1_harmin_4_Multichannel Z-Stack_20251017_06.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_1_harmin_7_Multichannel Z-Stack_20251017_07.vsi,2_1_harmin_7_Multichannel Z-Stack_20251017_07.vsi,.vsi,0,"C488, C561, C640",29,,256.100311298297,260.300311298297,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_1_harmin_7_Multichannel Z-Stack_20251017_07.vsi,2_1_harmin_7_Multichannel Z-Stack_20251017_07.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_1_harmin_8_Multichannel Z-Stack_20251017_08.vsi,2_1_harmin_8_Multichannel Z-Stack_20251017_08.vsi,.vsi,0,"C488, C561, C640",30,,257.3542055789538,261.7042055789538,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_1_harmin_8_Multichannel Z-Stack_20251017_08.vsi,2_1_harmin_8_Multichannel Z-Stack_20251017_08.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_1_harmin_9_Multichannel Z-Stack_20251017_09.vsi,2_1_harmin_9_Multichannel Z-Stack_20251017_09.vsi,.vsi,0,"C488, C561, C640",29,,258.90809985961056,263.10809985961055,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_1_harmin_9_Multichannel Z-Stack_20251017_09.vsi,2_1_harmin_9_Multichannel Z-Stack_20251017_09.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_1_kontrola_10_Multichannel Z-Stack_20251017_20.vsi,2_1_kontrola_10_Multichannel Z-Stack_20251017_20.vsi,.vsi,0,"C488, C561, C640",23,,279.7067753158762,283.00677531587627,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_1_kontrola_10_Multichannel Z-Stack_20251017_20.vsi,2_1_kontrola_10_Multichannel Z-Stack_20251017_20.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_1_kontrola_1_Multichannel Z-Stack_20251017_11.vsi,2_1_kontrola_1_Multichannel Z-Stack_20251017_11.vsi,.vsi,0,"C488, C561, C640",31,,262.606146615394,267.106146615394,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_1_kontrola_1_Multichannel Z-Stack_20251017_11.vsi,2_1_kontrola_1_Multichannel Z-Stack_20251017_11.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_1_kontrola_2_Multichannel Z-Stack_20251017_12.vsi,2_1_kontrola_2_Multichannel Z-Stack_20251017_12.vsi,.vsi,0,"C488, C561, C640",30,,264.25159921870227,268.6015992187023,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_1_kontrola_2_Multichannel Z-Stack_20251017_12.vsi,2_1_kontrola_2_Multichannel Z-Stack_20251017_12.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_1_kontrola_3_Multichannel Z-Stack_20251017_13.vsi,2_1_kontrola_3_Multichannel Z-Stack_20251017_13.vsi,.vsi,0,"C488, C561, C640",44,,265.75289324299587,272.2028932429958,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_1_kontrola_3_Multichannel Z-Stack_20251017_13.vsi,2_1_kontrola_3_Multichannel Z-Stack_20251017_13.vsi,.vsi,1,macro image,1,,,,unavailable,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_1_kontrola_4_Multichannel Z-Stack_20251017_14.vsi,2_1_kontrola_4_Multichannel Z-Stack_20251017_14.vsi,.vsi,0,"C488, C561, C640",35,,268.5067875236525,273.60678752365254,ome_plane_position_z,
Z:\Brejtr\ActiveProjects\Microscopy\20251017\2_1_kontrola_4_Multichannel Z-Stack_20251017_14.vsi,2_1_kontrola_4_Multichannel Z-Stack_20251017_14.vsi,.vsi,1,macro image,1,,,,unavailable,
