source_image,group,n_patches
1_8_KONTROLA_1_Multichannel Z-Stack_20251030_118.npy,Control,324
2.1.hrmin1_Multichannel Z-Stack_20251017_01.npy,Harmine,324
2.1.hrmin2_Multichannel Z-Stack_20251017_02.npy,Harmine,324
2_1_harmin_10_Multichannel Z-Stack_20251017_10.npy,Harmine,324
2_1_harmin_3_Multichannel Z-Stack_20251017_03.npy,Harmine,324
2_1_harmin_4_Multichannel Z-Stack_20251017_04.npy,Harmine,324
2_1_harmin_4_Multichannel Z-Stack_20251017_05.npy,Harmine,324
2_1_harmin_4_Multichannel Z-Stack_20251017_06.npy,Harmine,324
2_1_harmin_7_Multichannel Z-Stack_20251017_07.npy,Harmine,324
2_1_harmin_8_Multichannel Z-Stack_20251017_08.npy,Harmine,324
2_1_harmin_9_Multichannel Z-Stack_20251017_09.npy,Harmine,324
2_1_kontrola_10_Multichannel Z-Stack_20251017_20.npy,Control,324
2_1_kontrola_1_Multichannel Z-Stack_20251017_11.npy,Control,324
2_1_kontrola_2_Multichannel Z-Stack_20251017_12.npy,Control,324
2_1_kontrola_3_Multichannel Z-Stack_20251017_13.npy,Control,324
2_1_kontrola_4_Multichannel Z-Stack_20251017_14.npy,Control,324
2_1_kontrola_5_Multichannel Z-Stack_20251017_15.npy,Control,324
2_1_kontrola_6_Multichannel Z-Stack_20251017_16.npy,Control,324
2_1_kontrola_7_Multichannel Z-Stack_20251017_17.npy,Control,324
2_1_kontrola_8_Multichannel Z-Stack_20251017_18.npy,Control,324
2_1_kontrola_9_Multichannel Z-Stack_20251017_19.npy,Control,324
2_2_PSIHARMIN_10_Multichannel Z-Stack_20251017_40.npy,Psilocin + harmine,324
2_2_PSIHARMIN_1_Multichannel Z-Stack_20251017_31.npy,Psilocin + harmine,324
2_2_PSIHARMIN_2_Multichannel Z-Stack_20251017_32.npy,Psilocin + harmine,324
2_2_PSIHARMIN_3_Multichannel Z-Stack_20251017_33.npy,Psilocin + harmine,324
2_2_PSIHARMIN_4_Multichannel Z-Stack_20251017_34.npy,Psilocin + harmine,324
2_2_PSIHARMIN_5_Multichannel Z-Stack_20251017_35.npy,Psilocin + harmine,324
2_2_PSIHARMIN_6_Multichannel Z-Stack_20251017_36.npy,Psilocin + harmine,324
2_2_PSIHARMIN_7_Multichannel Z-Stack_20251017_37.npy,Psilocin + harmine,324
2_2_PSIHARMIN_8_Multichannel Z-Stack_20251017_38.npy,Psilocin + harmine,324
2_2_PSIHARMIN_9_Multichannel Z-Stack_20251017_39.npy,Psilocin + harmine,324
2_2_PSI_10_Multichannel Z-Stack_20251017_30.npy,Psilocin,324
2_2_PSI_1_Multichannel Z-Stack_20251017_21.npy,Psilocin,324
2_2_PSI_2_Multichannel Z-Stack_20251017_22.npy,Psilocin,324
2_2_PSI_3010_Multichannel Z-Stack_20251030_51.npy,Psilocin,324
2_2_PSI_3010_Multichannel Z-Stack_20251030_52.npy,Psilocin,324
2_2_PSI_30_10_3_Multichannel Z-Stack_20251030_53.npy,Psilocin,324
2_2_PSI_30_10_4_Multichannel Z-Stack_20251030_54.npy,Psilocin,324
2_2_PSI_30_10_5_Multichannel Z-Stack_20251030_55.npy,Psilocin,324
2_2_PSI_3_Multichannel Z-Stack_20251017_23.npy,Psilocin,324
2_2_PSI_4_Multichannel Z-Stack_20251017_24.npy,Psilocin,324
2_2_PSI_5_Multichannel Z-Stack_20251017_25.npy,Psilocin,324
2_2_PSI_6_Multichannel Z-Stack_20251017_26.npy,Psilocin,324
2_2_PSI_7_Multichannel Z-Stack_20251017_27.npy,Psilocin,324
2_2_PSI_8_Multichannel Z-Stack_20251017_28.npy,Psilocin,324
2_2_PSI_9_Multichannel Z-Stack_20251017_29.npy,Psilocin,324
2_3_PSYHARMIN_10_Multichannel Z-Stack_20251030_75.npy,Psilocybin + harmine,324
2_3_PSYHARMIN_1_Multichannel Z-Stack_20251030_66.npy,Psilocybin + harmine,324
2_3_PSYHARMIN_2_Multichannel Z-Stack_20251030_67.npy,Psilocybin + harmine,324
2_3_PSYHARMIN_3_Multichannel Z-Stack_20251030_68.npy,Psilocybin + harmine,324
2_3_PSYHARMIN_4_Multichannel Z-Stack_20251030_69.npy,Psilocybin + harmine,324
2_3_PSYHARMIN_5_Multichannel Z-Stack_20251030_70.npy,Psilocybin + harmine,324
2_3_PSYHARMIN_6_Multichannel Z-Stack_20251030_71.npy,Psilocybin + harmine,324
2_3_PSYHARMIN_7_Multichannel Z-Stack_20251030_72.npy,Psilocybin + harmine,324
2_3_PSYHARMIN_8_Multichannel Z-Stack_20251030_73.npy,Psilocybin + harmine,324
2_3_PSYHARMIN_9_Multichannel Z-Stack_20251030_74.npy,Psilocybin + harmine,324
2_3_PSY_10_Multichannel Z-Stack_20251030_65.npy,Psilocybin,324
2_3_PSY_1_Multichannel Z-Stack_20251030_56.npy,Psilocybin,324
2_3_PSY_2_Multichannel Z-Stack_20251030_57.npy,Psilocybin,324
2_3_PSY_3_Multichannel Z-Stack_20251030_58.npy,Psilocybin,324
2_3_PSY_4_Multichannel Z-Stack_20251030_59.npy,Psilocybin,324
2_3_PSY_5_Multichannel Z-Stack_20251030_60.npy,Psilocybin,324
2_3_PSY_6_Multichannel Z-Stack_20251030_61.npy,Psilocybin,324
2_3_PSY_6_Multichannel Z-Stack_20251030_62.npy,Psilocybin,324
2_3_PSY_8_Multichannel Z-Stack_20251030_63.npy,Psilocybin,324
2_3_PSY_9_Multichannel Z-Stack_20251030_64.npy,Psilocybin,324
2_4_NORPSIHARMIN_10_Multichannel Z-Stack_20251030_95.npy,Norpsilocin + harmine,324
2_4_NORPSIHARMIN_1_Multichannel Z-Stack_20251030_86.npy,Norpsilocin + harmine,324
2_4_NORPSIHARMIN_2_Multichannel Z-Stack_20251030_87.npy,Norpsilocin + harmine,324
2_4_NORPSIHARMIN_3_Multichannel Z-Stack_20251030_88.npy,Norpsilocin + harmine,324
2_4_NORPSIHARMIN_4_Multichannel Z-Stack_20251030_89.npy,Norpsilocin + harmine,324
2_4_NORPSIHARMIN_5_Multichannel Z-Stack_20251030_90.npy,Norpsilocin + harmine,324
2_4_NORPSIHARMIN_6_Multichannel Z-Stack_20251030_91.npy,Norpsilocin + harmine,324
2_4_NORPSIHARMIN_7_Multichannel Z-Stack_20251030_92.npy,Norpsilocin + harmine,324
2_4_NORPSIHARMIN_8_Multichannel Z-Stack_20251030_93.npy,Norpsilocin + harmine,324
