epoch,train_loss,val_loss,lr,epoch_time_s,train_time_s,val_time_s,best_val_loss,best_epoch,grad_norm_mean,grad_norm_max
1,0.34775279,0.34779016,1.50e-05,1273.9,1021.8,252.2,0.34779016,1,0.5720,0.5936
2,0.19473381,0.14456599,3.00e-05,58.7,52.3,6.4,0.14456599,2,inf,inf
3,0.10885583,0.07456988,4.50e-05,59.7,51.5,8.1,0.07456988,3,0.5207,24.1019
4,0.05502005,0.04278562,6.00e-05,59.8,53.1,6.7,0.04278562,4,0.2335,7.4928
5,0.03553410,0.02995592,7.50e-05,62.7,55.4,7.3,0.02995592,5,0.1176,0.7598
6,0.02639064,0.02280927,9.00e-05,61.7,54.8,6.9,0.02280927,6,0.1122,0.6349
7,0.02070817,0.01943433,1.05e-04,58.9,52.0,6.9,0.01943433,7,0.0987,0.3407
8,0.01779353,0.01614555,1.20e-04,60.3,53.4,7.0,0.01614555,8,0.0877,0.3393
9,0.01587927,0.01446292,1.35e-04,61.8,54.8,7.0,0.01446292,9,0.0785,0.3382
10,0.01456418,0.01368216,1.50e-04,59.0,50.8,8.2,0.01368216,10,0.0763,0.2765
11,0.01410562,0.01387456,1.50e-04,62.7,55.6,7.1,0.01368216,10,0.0759,0.4722
12,0.01263413,0.01155801,1.50e-04,66.9,58.4,8.4,0.01155801,12,0.0667,0.2076
13,0.01160916,0.01203896,1.50e-04,57.6,51.0,6.6,0.01155801,12,0.0579,0.2163
14,0.01097312,0.01210769,1.50e-04,62.2,54.9,7.3,0.01155801,12,0.0574,0.2004
15,0.01030869,0.00961459,1.50e-04,64.1,58.1,6.0,0.00961459,15,0.0547,0.2247
16,0.00975305,0.00984552,1.50e-04,61.0,52.8,8.2,0.00961459,15,0.0528,0.1849
17,0.00932467,0.00868264,1.49e-04,63.7,56.2,7.4,0.00868264,17,0.0517,0.1751
18,0.00895481,0.00842469,1.49e-04,57.3,50.9,6.4,0.00842469,18,0.0512,0.1693
19,0.00858002,0.00858607,1.49e-04,62.1,54.0,8.1,0.00842469,18,0.0479,0.1812
20,0.00833578,0.00937682,1.49e-04,57.5,51.0,6.5,0.00842469,18,0.0477,0.1375
21,0.00809192,0.00839312,1.49e-04,58.7,52.4,6.2,0.00839312,21,0.0464,0.1611
22,0.00778599,0.00858292,1.49e-04,55.0,48.6,6.3,0.00839312,21,0.0420,0.1133
23,0.00774368,0.00740096,1.48e-04,59.2,51.4,7.8,0.00740096,23,0.0436,0.3377
24,0.00749417,0.00711388,1.48e-04,60.2,53.4,6.9,0.00711388,24,0.0413,0.1081
25,0.00734637,0.00703523,1.48e-04,58.2,52.0,6.1,0.00703523,25,0.0398,0.1205
26,0.00716578,0.00726167,1.47e-04,59.8,52.1,7.6,0.00703523,25,0.0376,0.1163
